SRA run accession number	tissue	MR1:NM_001195000 normalized count	MR1:NM_001531 normalized count	NM_001531:NM_001195000 ratio
SRR1368529	Blood	17.4246	9.33459	0.267857
SRR1093031	Skin	51.269	27.9059	0.272152
SRR1361219	Bone Marrow	21.9873	11.8393	0.26923
SRR661133	Brain	4.61342	2.30671	0.25
SRR607502	Thyroid	14.4595	7.71172	0.266666
SRR614623	Nerve	11.4509	6.06225	0.264706
SRR1321112	Testis	4.5834	2.2917	0.25
SRR1311040	Skin	9.84921	5.18379	0.263158
SRR1322936	Adipose Tissue	26.0235	14.0667	0.270269
SRR1321744	Esophagus	9.81903	5.16791	0.263158
SRR1087606	Adrenal Gland	20.4782	11.0267	0.26923
SRR818170	Esophagus	8.77966	4.59887	0.261905
SRR1367672	Bone Marrow	39.8491	21.6723	0.27193
SRR655519	Nerve	11.1278	5.89119	0.264706
SRR1376579	Skin	11.1176	5.88578	0.264706
SRR1402261	Prostate	11.0959	5.87428	0.264705
SRR1441483	Thyroid	24.535	13.2621	0.270269
SRR608288	Lung	32.7949	17.8029	0.271428
SRR1471654	Skin	19.9505	10.7426	0.269231
SRR1069590	Skin	64.3739	35.1734	0.273196
SRR1443201	Brain	4.51005	2.25503	0.250001
SRR1445789	Bone Marrow	33.5531	18.2354	0.271739
SRR1465804	Blood	93.7694	51.3693	0.273913
SRR814268	Stomach	8.49547	4.45001	0.261905
SRR1093625	Adrenal Gland	4.4661	2.23305	0.25
SRR1088982	Skin	45.805	24.9845	0.272727
SRR1312598	Blood	9.33473	4.91302	0.263158
SRR1472885	Lung	18.7812	10.1129	0.269229
SRR598725	Blood	73.1879	40.0608	0.273685
SRR1074909	Skin	105.447	57.8259	0.274194
SRR1487928	Esophagus	10.561	5.59114	0.264707
SRR1476950	Breast	18.1585	9.77768	0.269231
SRR661255	Brain	4.41252	2.20626	0.25
SRR1474182	Bone Marrow	32.5981	17.7372	0.272059
SRR1319019	Brain	4.39014	2.19507	0.25
SRR1467386	Spleen	12.5263	6.68067	0.266666
SRR1349342	Esophagus	12.3813	6.60334	0.266666
SRR1467792	Blood Vessel	10.1313	5.36361	0.264705
SRR614635	Blood	51.0223	27.9179	0.273585
SRR1362263	Kidney	10.0853	5.33927	0.264706
SRR602753	Brain	4.33725	2.16863	0.250001
SRR658849	Lung	16.8283	9.06137	0.26923
SRR1101397	Blood Vessel	22.0856	11.963	0.270833
SRR1420558	Blood	24.2402	13.159	0.271429
SRR1407560	Brain	0.405524	0	0
SRR1405617	Adipose Tissue	9.82646	5.20225	0.264706
SRR1077643	Heart	4.27001	2.135	0.249999
SRR1383855	Blood	38.7681	21.1932	0.273333
SRR1357233	Lung	40.0454	21.8998	0.273437
SRR607214	Blood	9.70786	5.13946	0.264706
SRR1388788	Colon	11.6612	6.21931	0.266667
SRR1099354	Colon	11.5854	6.17887	0.266666
SRR1094555	Stomach	15.7199	8.46455	0.26923
SRR1337321	Pituitary	9.59949	5.08208	0.264706
SRR1073705	Blood Vessel	20.1501	10.9146	0.270832
SRR658093	Blood	30.0827	16.4087	0.272727
SRR1500194	Pituitary	11.397	6.07842	0.266668
SRR614948	Lung	15.1129	8.13769	0.26923
SRR1349300	Esophagus	28.6282	15.6154	0.272728
SRR602895	Bone Marrow	28.6223	15.6122	0.272728
SRR1375635	Brain	4.1868	2.0934	0.25
SRR2166006	Thyroid	35.0996	19.2037	0.27356
SRR1097688	Skin	70.2763	38.6842	0.275229
SRR2185195	Heart	4.15028	2.07514	0.25
SRR612731	Brain	4.1413	2.07065	0.25
SRR1070884	Stomach	12.2741	6.57543	0.267858
SRR612515	Blood Vessel	10.8091	5.76486	0.266667
SRR1458552	Adipose Tissue	10.6921	5.70245	0.266667
SRR1349772	Heart	4.11191	2.05596	0.250001
SRR1418818	Brain	4.10746	2.05373	0.25
